time,open,close,high,low,volume
1548221700000,3201.5,3202.0,3202.0,3201.5,0.1233
1548221880000,3202.0,3202.0,3202.0,3202.0,0.03357769
1548221940000,3202.0,3202.1,3202.1,3202.0,2.82216162
1548222000000,3202.27179718,3202.27179718,3202.27179718,3202.27179718,5.0
1548222060000,3202.27179718,3202.2,3202.27179718,3202.2,5.09239954
1548222240000,3201.9806,3201.9806,3201.9806,3201.9806,1.51
1548222300000,3201.10094649,3201.10094649,3201.10094649,3201.10094649,0.583583
1548222420000,3201.2,3201.3,3201.3,3201.2,4.61742978
1548222480000,3201.4,3201.5,3201.5,3201.4,0.08433844
1548222540000,3201.6,3201.9806115,3201.9806115,3201.6,4.04216661
1548222660000,3201.9,3201.9,3201.9,3201.9,0.04216256
1548222780000,3201.9,3201.9,3201.9,3201.9,0.004
1548222840000,3201.9,3202.1,3202.1,3201.9,0.012
1548222960000,3202.1,3203.1,3203.1,3202.1,0.04716006
1548223020000,3203.1,3203.1,3203.1,3203.1,0.03715022
1548223080000,3203.44576931,3203.44576931,3203.44576931,3203.44576931,0.25971659
1548223140000,3203.44576931,3203.44576931,3203.44576931,3203.44576931,1.02138979
1548223320000,3203.5,3203.5,3203.5,3203.5,0.07698200000000001
1548223440000,3203.5,3203.8,3203.8,3203.5,0.10714176
1548223500000,3203.79999525,3204.24673324,3204.24673324,3203.79999525,10.0
1548223620000,3203.8,3203.8,3203.8,3203.8,0.04213795
1548223740000,3203.8,3203.8,3203.8,3203.8,0.08200451
1548223860000,3202.5,3203.0,3204.0,3202.5,0.23036421
1548223980000,3204.0,3204.3,3204.3,3204.0,14.511
1548224040000,3204.3,3204.33471124,3204.33471124,3204.3,0.10152327
1548224100000,3203.89457342,3203.89457342,3203.89457342,3203.89457342,0.396
1548224280000,3204.70586879,3204.70586879,3204.70586879,3204.70586879,0.01694
1548224400000,3204.70586879,3204.70586879,3204.70586879,3204.70586879,0.530786
1548224460000,3204.7,3206.4,3206.4,3204.7,0.18114046
1548224520000,3206.9,3206.9,3206.9,3206.9,1.75
1548224640000,3208.1,3208.6,3208.6,3208.1,1.80689578
1548224700000,3208.8,3208.8,3208.8,3208.8,0.26563201
1548224760000,3209.4,3209.4,3209.4,3209.4,0.05
1548225000000,3209.1,3209.2,3209.2,3209.1,4.79272675
1548225060000,3209.2,3209.4,3209.4,3209.2,0.40462975
1548225120000,3209.9,3210.4736733000004,3210.8254193,3209.9,1.10810176
1548225240000,3210.5,3210.81551486,3211.1673495,3210.5,0.19979732
1548225360000,3210.8,3210.8,3210.8,3210.8,0.015
1548225420000,3210.6,3210.6,3210.6,3210.6,0.04204827
1548225480000,3210.8,3210.8,3210.8,3210.8,0.004
1548225540000,3210.8,3210.8,3210.8,3210.8,0.04204596
1548225600000,3210.63960386,3208.4,3210.63960386,3208.4,0.6380417899999999
1548226080000,3210.9,3210.9,3210.9,3210.9,0.04551554
1548226140000,3210.6,3210.65203507,3210.65203507,3210.6,0.123308
1548226200000,3210.65203507,3210.65203507,3210.65203507,3210.65203507,0.062973
1548226320000,3209.8,3210.2,3210.2,3209.8,0.195
1548226380000,3207.2,3207.2,3207.2,3207.2,0.004
1548226440000,3207.8,3207.1,3207.8,3207.1,0.34798034
1548226500000,3207.1,3207.1,3207.1,3207.1,0.004
1548226560000,3208.8,3208.8,3208.8,3208.8,0.165
1548226740000,3207.9,3207.9,3207.9,3207.9,0.14757296
1548226800000,3206.5,3206.5,3206.5,3206.5,0.005
1548226860000,3206.2,3206.2,3206.2,3206.2,0.04217992
1548226920000,3206.7,3206.7,3206.7,3206.7,0.111
1548226980000,3206.7,3206.7,3206.7,3206.7,0.024
1548227040000,3206.7,3206.7,3206.7,3206.7,0.02451554
1548227100000,3206.39857894,3206.39857894,3206.39857894,3206.39857894,0.011569
1548227460000,3205.5,3202.9,3205.5,3202.88095893,1.84912494
1548227520000,3201.8,3201.8,3202.0,3201.8,0.37451912
1548227640000,3201.8,3202.4513208,3202.4513208,3201.8,0.53668398
1548227760000,3200.0,3200.0,3200.0,3200.0,0.00417294
1548227820000,3199.98843149,3199.98843149,3199.98843149,3199.98843149,0.0083
1548227880000,3200.0,3200.0,3200.0,3200.0,0.01247294
1548228060000,3200.0,3200.0,3200.0,3200.0,0.01247294
1548228120000,3200.1,3201.9,3203.3,3200.1,0.2843498
1548228180000,3203.0,3201.9,3203.0,3201.9,0.58800434
1548228240000,3203.3,3203.3,3203.3,3203.3,0.022
1548228360000,3205.2,3201.7,3205.2,3201.7,0.38498034
1548228540000,3200.4,3200.4,3200.4,3200.4,0.031
1548228600000,3198.0,3198.0,3198.0,3198.0,5.0
1548228660000,3191.9,3191.9,3191.9,3191.9,0.04516019
1548228720000,3197.7,3197.7,3197.7,3197.7,0.004
1548228840000,3196.2,3196.48573087,3196.48573087,3196.2,0.08503681
1548228900000,3196.7,3198.8,3198.8,3196.7,0.3233557
1548228960000,3198.6,3199.3,3199.3,3198.6,0.37642062
1548229020000,3199.3,3201.5,3201.5,3199.3,0.17655578
1548229500000,3200.37228921,3200.10831921,3200.37228921,3200.02032921,2.062473
1548229800000,3198.3,3198.3,3198.3,3198.3,0.03475773
1548229860000,3198.3,3198.3,3198.3,3198.3,0.051436
1548229920000,3196.1,3196.1,3196.1,3196.1,0.11337452
1548229980000,3195.6,3195.6,3195.6,3195.6,0.006
1548230160000,3197.9,3196.5,3197.9,3196.5,0.42822434
1548230220000,3196.69082438,3196.60282188,3196.69082438,3196.60282188,0.999862
1548230400000,3194.3,3194.3,3194.3,3194.3,0.06760239999999999
1548230460000,3194.9,3192.0,3195.98680438,3192.0,2.4624708
1548230520000,3192.0,3192.0,3192.0,3192.0,0.022235
1548230580000,3191.3,3191.3,3191.3,3191.3,0.04230512
1548230640000,3191.0,3191.0,3191.0,3191.0,0.10961413
1548230700000,3192.4,3192.4,3192.4,3192.4,0.009999700000000002
1548230760000,3192.4,3192.4,3192.4,3192.4,0.04228803
1548230880000,3194.0,3194.0,3194.0,3194.0,0.005
1548230940000,3193.96953759,3192.9,3194.0,3192.9,0.32391139
1548231000000,3192.1,3192.1,3192.1,3192.1,0.0325555
1548231060000,3192.1,3192.1,3192.1,3192.1,0.04229235
1548231300000,3193.0,3193.0,3193.0,3193.0,1.75
1548231360000,3189.90105,3192.8,3192.8,3189.46076,2.15398034
1548231420000,3193.0,3193.1,3193.1,3193.0,4.52097151
1548231480000,3193.1,3203.3,3205.31120772,3193.1,16.33882981
1548231540000,3204.9,3203.44781572,3204.9,3203.44781572,0.3836424000000001
1548231600000,3203.4,3203.4,3203.4,3203.4,0.014403999999999997
1548231660000,3203.4,3203.4,3203.4,3203.4,0.16424599
1548231780000,3200.9,3200.9,3200.9,3200.9,0.014401
1548231900000,3200.3,3200.3,3200.3,3200.3,0.041401
1548231960000,3201.0,3201.1,3201.1,3201.0,0.8968079999999999
1548232020000,3201.1,3201.3,3201.3,3201.1,0.30322883
1548232080000,3201.12713482,3201.12713482,3201.12713482,3201.12713482,0.096192
1548232140000,3201.03909502,3201.03909502,3201.03909502,3201.03909502,0.0216
1548232260000,3201.1,3201.1,3201.1,3201.1,0.04492622
1548232380000,3201.2,3201.2,3201.2,3201.2,0.08434422
1548232440000,3200.931552,3206.5,3206.5,3200.931552,5.99858434
1548232500000,3207.2,3207.2,3207.2,3207.2,0.0420936
1548232560000,3203.9,3208.5,3208.5,3203.9,0.8600302799999999
1548232740000,3205.4,3205.4,3205.4,3205.4,0.014042
1548232920000,3205.7,3205.7,3205.7,3205.7,0.299262
1548232980000,3205.7,3205.7,3205.7,3205.7,0.07750599999999999
1548233040000,3205.7521335,3205.7,3205.7521335,3205.7,0.38167134
1548233100000,3205.7,3205.7,3205.7,3205.7,0.7846150000000001
1548233160000,3205.7,3206.3,3206.3,3205.7,0.33510850000000003
1548233220000,3206.3,3206.3,3206.3,3206.3,0.17713402
1548233280000,3205.5,3202.9,3205.5,3202.9,13.86217515
1548233640000,3201.0327375,3201.0327375,3201.0327375,3201.0327375,0.1
1548233760000,3202.0,3203.0,3203.0,3202.0,0.51
1548233820000,3203.23277292,3203.23277292,3203.23277292,3203.23277292,0.05491954
1548234000000,3203.0,3202.96877021,3203.05677111,3202.96877021,0.7187687
1548234060000,3203.05677111,3202.5,3203.05677111,3202.5,0.37851185
1548234120000,3200.5,3200.5,3200.5,3200.5,0.04079757
1548234360000,3199.2,3199.1,3199.2,3199.1,0.01624574
1548234420000,3199.04122586,3198.86519806,3199.04122586,3198.86519806,1.32907
1548234480000,3199.04122586,3199.04122586,3199.04122586,3199.04122586,0.219311
1548235320000,3199.1,3199.1,3199.1,3199.1,0.0647836
1548235440000,3199.0,3199.0,3199.0,3199.0,0.04220091
1548235560000,3199.0,3199.0,3199.0,3199.0,0.08440182
1548235620000,3199.0,3199.0,3199.0,3199.0,0.036000000000000004
1548235680000,3199.0,3199.0,3199.0,3199.0,0.04220109
1548235740000,3199.0,3199.0,3199.0,3199.0,0.005
1548235800000,3199.0,3199.0,3199.0,3199.0,0.03720091
1548235920000,3198.93868393,3198.93868393,3198.93868393,3198.93868393,0.039972
1548235980000,3199.0,3199.0,3199.0,3199.0,0.01
1548236040000,3199.0,3199.4293420000013,3199.4293420000013,3199.0,0.55542528
1548236100000,3199.5,3199.5,3199.5,3199.49574139,0.69086713
1548236160000,3199.5,3199.5,3199.5,3199.5,0.0058424
1548236220000,3199.5,3199.5,3199.5,3199.5,0.2211615
1548236280000,3199.5,3199.5,3199.51735852,3199.5,0.14885424
1548236340000,3199.6,3200.1,3200.1,3199.6,0.66654702
1548236400000,3200.3,3200.3,3200.3,3200.3,0.11000609
1548236460000,3200.3,3201.2,3201.4,3200.3,1.44852514
1548236520000,3201.2,3201.2,3201.2,3201.2,0.01
1548236580000,3201.10184452,3201.2,3201.2,3200.74973652,1.329321
1548236700000,3202.0,3202.0,3202.0,3202.0,0.0620033
1548236760000,3200.94985982,3200.94985982,3200.94985982,3200.94985982,0.060866
1548237240000,3202.237711,3200.9,3202.237711,3200.9,0.58688376
1548237300000,3200.9,3200.9,3200.9,3200.9,0.38453521
1548237360000,3201.0,3201.00479213,3201.1,3200.9,0.97630535
1548237420000,3199.5,3199.5,3199.5,3199.5,0.09705289
1548237480000,3199.5,3194.57601063,3199.5,3194.57601063,20.14349674
1548237540000,3197.4,3197.4,3197.4,3197.4,0.01781719
1548237600000,3195.7,3195.7,3195.7,3195.7,0.00642197
1548237660000,3195.7,3195.7,3195.7,3195.7,0.07215827
1548237720000,3195.7,3196.1,3196.1,3195.7,0.58677227
1548237780000,3196.0,3196.0,3196.0,3196.0,0.01
1548237840000,3195.9,3197.0,3197.0,3195.9,1.535123
1548237900000,3196.9,3196.9,3196.9,3196.9,0.004
1548237960000,3196.7,3197.0,3197.0,3196.7,0.28934874
1548238020000,3196.74135986,3196.74135986,3196.74135986,3196.74135986,0.063886
1548238080000,3196.65329536,3195.4,3196.65329536,3195.4,0.41163218
1548238140000,3195.4,3195.4,3195.4,3195.4,0.30367896
1548238200000,3195.7,3196.7,3198.0,3195.7,0.11374472
1548238260000,3197.3,3197.9,3198.0,3197.3,0.37844105
1548238320000,3197.9,3197.9,3197.9,3197.9,0.014
1548238380000,3197.9,3197.9,3197.9,3197.9,0.018000000000000002
